Drug_ID,Drug,Y,mol,mol_wt,logp,hba,hbd,tpsa,num_rot_bonds,num_het_atoms,num_heavy_atoms,num_rings,fsp3,mol_no_salt
Drug 1643,CCC1(CC(=O)O)OCCc2c1[nH]c1c(C)cccc21,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545AABD0>,273.332,3.1290200000000015,2,2,62.32,3,4,20,3,0.4375,<rdkit.Chem.rdchem.Mol object at 0x000001775E22D630>
Drug 1646,CC(=O)Nc1ccc(NC(C)=O)c2c1C(=O)c1ccccc1C2=O,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545AACF0>,322.32000000000005,2.3788,4,2,92.34,2,6,24,3,0.1111111111111111,<rdkit.Chem.rdchem.Mol object at 0x000001775E22D690>
Drug 1654,Cc1cc(S(=O)(=O)O)c2c(C)ccc(C(C)C)cc1-2,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1030>,278.373,3.7783400000000027,2,1,54.370000000000005,2,4,19,2,0.3333333333333333,<rdkit.Chem.rdchem.Mol object at 0x000001775E22D6F0>
Drug 1657,O=C1CCCc2c1ccc1c2ccc2ccccc21,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1150>,246.309,4.512000000000003,1,0,17.07,0,1,19,4,0.16666666666666666,<rdkit.Chem.rdchem.Mol object at 0x000001775E22D750>
Drug 1661,O=C=Nc1cccc2c(N=C=O)cccc12,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545A12D0>,210.19199999999995,2.774400000000001,4,0,58.86,2,4,16,2,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22D7B0>
Drug 1662,CCCCCCCCCCCCS,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1330>,202.40699999999998,4.837100000000006,1,1,0.0,10,1,13,0,1.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22D810>
Drug 1663,COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1390>,293.27799999999996,3.296000000000001,4,1,56.790000000000006,1,5,22,5,0.11764705882352941,<rdkit.Chem.rdchem.Mol object at 0x000001775E22D870>
Drug 1665,NC(=O)C1(C(N)=O)O[C@H]1C(=O)c1ccccc1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1450>,234.211,-1.0224999999999995,4,2,115.78,4,6,17,2,0.18181818181818182,<rdkit.Chem.rdchem.Mol object at 0x000001775E22D8D0>
Drug 1666,CCCCCn1cc2c3c(cccc31)[C@H]1C=C(C)CN(C)[C@@H]1C2,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A14B0>,308.46900000000005,4.731500000000004,2,0,8.17,4,2,23,4,0.5238095238095238,<rdkit.Chem.rdchem.Mol object at 0x000001775E22D930>
Drug 1667,Cc1cc(Cc2ccc(N)c(C)c2)ccc1N,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1510>,226.32299999999998,3.0586400000000014,2,2,52.04,2,2,17,2,0.2,<rdkit.Chem.rdchem.Mol object at 0x000001775E22D990>
Drug 1670,O=S(=O)(O)c1cccc2cc(O)ccc12,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1630>,224.237,1.7921,3,2,74.60000000000001,1,5,15,2,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22D9F0>
Drug 1671,CC1CCCC(=O)CCCCCc2cc(O)cc(O)c2C(=O)O1,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1690>,320.38500000000005,3.4990000000000028,5,2,83.83,0,5,23,2,0.5555555555555556,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DA50>
Drug 1672,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545A16F0>,268.356,4.828600000000005,2,2,40.46,4,2,20,2,0.2222222222222222,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DAB0>
Drug 1673,CCN(CC)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1750>,298.346,4.856400000000004,5,0,71.1,6,6,22,2,0.25,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DB10>
Drug 1676,CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1870>,288.28400000000005,3.468320000000002,6,0,70.54,7,7,19,1,0.6666666666666666,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DB70>
Drug 1679,CCOC(=O)c1[nH]c2ccccc2c1/N=C/c1ccc(O)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1990>,308.33700000000005,3.8008000000000015,4,2,74.68,4,5,23,3,0.1111111111111111,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DBD0>
Drug 1680,O=C(O)CNC(=O)c1ccc([N+](=O)[O-])cc1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A19F0>,224.172,0.40920000000000006,4,2,109.54000000000002,4,7,16,1,0.1111111111111111,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DC30>
Drug 1682,O=S(=O)(O)c1ccc(N=Nc2c(O)ccc3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1AB0>,488.4770000000002,2.7009000000000007,9,4,208.05999999999997,5,15,31,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DC90>
Drug 1685,O=C(CCl)c1ccc(Cl)cc1Cl,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1BD0>,223.486,3.414900000000001,1,0,17.07,2,4,12,1,0.125,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DCF0>
Drug 1686,Nc1ccc2cccc3c2c1-c1ccccc1-3,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1C30>,217.271,4.069400000000002,1,1,26.02,0,1,17,4,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DD50>
Drug 1687,CC(=O)OCc1ccc(N=Nc2ccc(COC(C)=O)cc2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1C90>,326.352,4.228200000000003,6,0,77.32,6,6,24,2,0.2222222222222222,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DDB0>
Drug 1689,O[C@@H]1C=Cc2ccc3c(ccc4ccccc43)c2[C@H]1O,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1D50>,262.308,3.4141000000000026,2,2,40.46,0,2,20,4,0.1111111111111111,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DE10>
Drug 1690,C1CC2OC2CC1COCC1CCC2OC2C1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1DB0>,238.32699999999994,2.138,3,0,34.29,4,3,17,4,1.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DE70>
Drug 1691,CC1(c2ccccc2)C(=O)c2ccccc2N1O,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1E10>,239.274,2.993900000000001,3,1,40.540000000000006,1,3,18,3,0.13333333333333333,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DED0>
Drug 1693,COc1cc(OC)c2c(c1)OC1OC=CC21,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1ED0>,220.22400000000002,2.0498,4,0,36.92,2,4,16,3,0.3333333333333333,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DF30>
Drug 1694,BrCC(Br)(Br)Br,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545A1F30>,345.654,3.2198,0,0,0.0,0,4,6,0,1.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22DF90>
Drug 1697,Cc1cc2ncccc2c2nc(N=[N+]=[N-])n(C)c12,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754597090>,238.254,3.3717200000000016,4,0,79.47,1,6,18,3,0.16666666666666666,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E030>
Drug 1699,OC1C=Cc2c(ccc3c(Cl)c4ccccc4cc23)C1O,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754597150>,296.75300000000004,4.0675000000000034,2,2,40.46,0,3,21,4,0.1111111111111111,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E090>
Drug 1700,O=c1c(=O)c2cc3ccccc3c3ccc4cccc1c4c23,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545971B0>,282.29800000000006,3.8954000000000013,2,0,34.14,0,2,22,5,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E0F0>
Drug 1705,[O-][n+]1cccc2c3c(ccc21)C(O)C(O)C1OC31,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754597390>,245.234,0.321,4,2,79.93,0,5,18,4,0.3076923076923077,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E150>
Drug 1708,Nc1nc(=O)n(C2CC(O)C(CO)O2)cc1CCCl,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545974B0>,289.71899999999994,-0.7525000000000004,7,3,110.60000000000001,4,8,19,2,0.6363636363636364,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E1B0>
Drug 1710,Fc1cnc2c(ccc3ncc(F)cc32)c1,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754597570>,216.18999999999997,3.0612000000000013,2,0,25.78,0,4,16,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E210>
Drug 1711,C/C(=C(\CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545975D0>,490.58500000000026,4.3778200000000025,8,1,115.48,10,9,35,3,0.19230769230769232,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E270>
Drug 1713,O=C1C=CC(=O)c2c(O)c(Cl)c(Cl)c(O)c21,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754597690>,259.044,2.3398000000000003,4,2,74.60000000000001,0,6,16,2,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E2D0>
Drug 1715,CC(=O)Nc1ccc(Oc2ccc(N(O)C=O)cc2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754597750>,286.287,2.789300000000001,4,2,78.87,5,6,21,2,0.06666666666666667,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E330>
Drug 1716,O=C(Nc1cccc(Br)c1)c1csc([N+](=O)[O-])c1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545977B0>,327.15900000000005,3.671100000000001,4,1,72.24,3,7,18,2,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E390>
Drug 1719,O=C(/C=C/c1ccccc1)OC/C=C/c1ccccc1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545978D0>,264.324,3.956400000000003,2,0,26.3,5,2,20,2,0.05555555555555555,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E3F0>
Drug 1720,CCOP(=S)(OCC)OP(=S)(OCC)OCC,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754597930>,322.3250000000001,3.5980000000000025,7,0,46.150000000000006,10,9,17,0,1.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E450>
Drug 1721,NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754597990>,288.307,-0.1995999999999986,4,2,92.67,6,7,21,2,0.14285714285714285,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E4B0>
Drug 1722,O[C@@H]1c2ccccc2-c2cc3c(ccc4ccccc43)nc2[C@H]1O,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545979F0>,313.35600000000005,4.135400000000004,3,2,53.35000000000001,0,3,24,5,0.09523809523809523,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E510>
Drug 1724,O=[N+]([O-])c1cc2c([nH]c3ccccc32)c([N+](=O)[O-])c1O,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754597AB0>,273.204,2.8431,5,2,122.3,2,8,20,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E570>
Drug 1725,BrCc1ccc(Br)cc1,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754597B10>,249.933,3.344000000000001,0,0,0.0,1,2,9,1,0.14285714285714285,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E5D0>
Drug 1727,CNc1nc2c3cccnc3ccc2n1C,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754597BD0>,212.25599999999997,2.1632,4,1,42.74,1,4,16,3,0.16666666666666666,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E630>
Drug 1730,Nc1nc2c(s1)CCC1NCCCC21,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754597CF0>,209.31799999999998,1.5071,4,2,50.94,0,4,14,3,0.7,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E690>
Drug 1732,O=c1c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)cc2oc2c(O)ccc(O)c12,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754597DB0>,422.3420000000002,-0.7583,11,7,190.27999999999997,3,11,30,4,0.3157894736842105,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E6F0>
Drug 1733,c1ccc2[nH]c(-c3cscn3)nc2c1,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754597E10>,201.254,2.6864,3,1,41.57,1,4,14,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E750>
Drug 1734,CCCCOc1ccc(CC(=O)NO)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754597E70>,223.272,1.9134,3,2,58.56,6,4,16,1,0.4166666666666667,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E7B0>
Drug 1737,Nc1ccc(-c2ccc(N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754597F90>,274.236,2.3344000000000005,6,2,138.32000000000002,3,8,20,2,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E810>
Drug 1738,O=[N+]([O-])c1ccc2c(c1)cc([N+](=O)[O-])c1ccc([N+](=O)[O-])cc12,1,<rdkit.Chem.rdchem.Mol object at 0x000001775459F030>,313.225,3.717600000000002,6,0,129.42000000000002,3,9,23,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E870>
Drug 1741,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,0,<rdkit.Chem.rdchem.Mol object at 0x000001775459F150>,288.43100000000004,3.8792000000000026,2,1,37.3,0,2,21,4,0.8421052631578947,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E8D0>
Drug 1743,O=[N+]([O-])c1ccc2[nH]c3c([N+](=O)[O-])c(O)c([N+](=O)[O-])cc3c2c1,1,<rdkit.Chem.rdchem.Mol object at 0x000001775459F210>,318.201,2.7513000000000005,7,2,165.44,3,11,23,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E930>
Drug 1749,O=c1cc(-c2ccccc2)cc(-c2ccccc2)n1/N=C/c1ccc([N+](=O)[O-])o1,1,<rdkit.Chem.rdchem.Mol object at 0x000001775459F450>,385.37900000000013,4.565700000000004,6,0,90.64,5,7,29,4,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E990>
Drug 1752,COC(=O)c1cc(Cc2ccc(N)c(C(=O)OC)c2)ccc1N,1,<rdkit.Chem.rdchem.Mol object at 0x000001775459F570>,314.341,2.015,6,2,104.64,4,6,23,2,0.17647058823529413,<rdkit.Chem.rdchem.Mol object at 0x000001775E22E9F0>
Drug 1754,COc1cc(C(O)c2ncc([N+](=O)[O-])n2C)c(O)c(C(C)(C)C)c1,1,<rdkit.Chem.rdchem.Mol object at 0x000001775459F630>,335.3600000000001,2.4217000000000004,7,2,110.64999999999999,4,8,24,2,0.4375,<rdkit.Chem.rdchem.Mol object at 0x000001775E22EA50>
Drug 1755,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1,<rdkit.Chem.rdchem.Mol object at 0x000001775459F690>,229.10399999999998,1.1167999999999996,7,1,149.65,3,10,16,1,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22EAB0>
Drug 1756,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,0,<rdkit.Chem.rdchem.Mol object at 0x000001775459F6F0>,272.25600000000003,2.5099000000000014,5,3,86.99000000000001,1,5,20,3,0.13333333333333333,<rdkit.Chem.rdchem.Mol object at 0x000001775E22EB10>
Drug 1761,COC(=O)c1cccc2oc3c4c(cc(OC)c3c(=O)c12)O[C@@H]1OC=C[C@@H]41,1,<rdkit.Chem.rdchem.Mol object at 0x000001775459F8D0>,366.32500000000005,3.0874000000000015,7,0,84.20000000000002,2,7,27,5,0.2,<rdkit.Chem.rdchem.Mol object at 0x000001775E22EB70>
Drug 1763,ICCc1ccc(OCc2ccccc2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x000001775459F990>,338.188,4.243100000000003,1,0,9.23,5,2,17,2,0.2,<rdkit.Chem.rdchem.Mol object at 0x000001775E22EBD0>
Drug 1764,CCOC(=O)c1[nH]c2ccccc2c1/N=C/c1cc(OC)c(OC)c(OC)c1,1,<rdkit.Chem.rdchem.Mol object at 0x000001775459F9F0>,382.41600000000017,4.121000000000003,6,1,82.14000000000001,7,7,28,3,0.23809523809523808,<rdkit.Chem.rdchem.Mol object at 0x000001775E22EC30>
Drug 1765,O=C1N[C@@H](c2ccc([N+](=O)[O-])s2)Nc2ccccc21,1,<rdkit.Chem.rdchem.Mol object at 0x000001775459FA50>,275.28900000000004,2.5104000000000006,5,2,84.27,2,7,19,3,0.08333333333333333,<rdkit.Chem.rdchem.Mol object at 0x000001775E22EC90>
Drug 1766,C=CC(=O)N1CCN(c2ccccc2)CC1,0,<rdkit.Chem.rdchem.Mol object at 0x000001775459FAB0>,216.28400000000002,1.5211999999999999,2,0,23.550000000000004,2,3,16,2,0.3076923076923077,<rdkit.Chem.rdchem.Mol object at 0x000001775E22ECF0>
Drug 1772,O=C1c2ccccc2C(=O)c2c1ccc(OC1OC(COC3OCC(O)C(O)C3O)C(O)C(O)C1O)c2O,0,<rdkit.Chem.rdchem.Mol object at 0x000001775459FCF0>,534.4700000000003,-2.1903999999999995,13,7,212.67,5,13,38,5,0.44,<rdkit.Chem.rdchem.Mol object at 0x000001775E22ED50>
Drug 1774,O=C1c2ccccc2-c2cccc3cccc1c23,1,<rdkit.Chem.rdchem.Mol object at 0x000001775459FDB0>,230.266,4.051200000000002,1,0,17.07,0,1,18,4,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22EDB0>
Drug 1776,CCOCN(C(=O)CCl)c1c(C)cccc1CC,0,<rdkit.Chem.rdchem.Mol object at 0x000001775459FE70>,269.772,3.1232200000000017,2,0,29.54,6,4,18,1,0.5,<rdkit.Chem.rdchem.Mol object at 0x000001775E22EE10>
Drug 1777,O=[N+]([O-])c1ccccc1S(=O)(=O)O,0,<rdkit.Chem.rdchem.Mol object at 0x000001775459FED0>,203.17499999999995,0.8414999999999999,4,1,97.51,2,7,13,1,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22EE70>
Drug 1780,CCOc1ccc(N=[N+]([O-])c2ccc(OCC)cc2)cc1,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754599030>,286.33099999999996,4.4097000000000035,4,0,56.89,6,5,21,2,0.25,<rdkit.Chem.rdchem.Mol object at 0x000001775E22EED0>
Drug 1782,O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2cccc([N+](=O)[O-])c21,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545990F0>,333.27700000000004,1.6169,6,1,131.65,2,9,23,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22EF30>
Drug 1784,Cc1ccc2c(c1)C1C(=N2)N(C)c2ccccc2C1C,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545991B0>,262.356,4.375720000000003,2,0,15.6,0,2,20,4,0.2777777777777778,<rdkit.Chem.rdchem.Mol object at 0x000001775E22EF90>
Drug 1785,CC1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754599210>,238.20299999999997,0.9354,5,1,100.97999999999999,3,8,17,2,0.3333333333333333,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F030>
Drug 1786,COC(=O)C(CSCC(Br)c1ccccc1)NC(C)=O,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754599270>,360.2730000000001,2.5335,4,1,55.4,7,6,20,1,0.42857142857142855,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F090>
Drug 1787,CC(=O)Nc1ccc(C(=O)CCl)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545992D0>,211.64799999999997,2.0665,2,1,46.17,3,4,14,1,0.2,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F0F0>
Drug 1790,CC1C=C(C=O)C(C=O)=CC2(O)CC(C)(C)CC12,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545993F0>,248.32199999999995,2.0540000000000003,3,1,54.370000000000005,2,3,18,2,0.6,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F150>
Drug 1791,COc1cc(S(=O)(=O)O)c(C)cc1N=Nc1c(O)ccc2cc(S(=O)(=O)O)ccc12,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754599450>,452.4660000000001,3.7712200000000013,8,3,162.92,5,12,30,3,0.1111111111111111,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F1B0>
Drug 1793,CC1=C2C(=CC(C)(CO)C2O)C(=O)C(C)(O)C12CC2,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754599510>,264.32099999999997,0.7163000000000002,4,3,77.76,1,4,19,3,0.6666666666666666,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F210>
Drug 1795,C=CC(C)(C)c1cc2cc3c(cc2oc1=O)OC(C(C)(C)OC(C)=O)C3,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545995D0>,356.4180000000001,3.9018000000000024,5,0,65.74000000000001,4,5,26,3,0.42857142857142855,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F270>
Drug 1797,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754599690>,252.27300000000002,1.7696,2,2,58.2,2,4,19,3,0.06666666666666667,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F2D0>
Drug 1798,Oc1ccccc1-c1nc2ccccc2o1,0,<rdkit.Chem.rdchem.Mol object at 0x00000177545996F0>,211.22,3.200400000000001,3,1,46.260000000000005,1,3,16,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F330>
Drug 1799,CC(C)CN(C(=O)CCCl)c1snc2ccccc12,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754599750>,296.82300000000004,3.914200000000003,3,0,33.2,5,5,19,2,0.42857142857142855,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F390>
Drug 1800,COc1cc(-c2ccc(N=C=O)c(OC)c2)ccc1N=C=O,1,<rdkit.Chem.rdchem.Mol object at 0x00000177545997B0>,296.282,3.3054000000000014,6,0,77.32,5,6,22,2,0.125,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F3F0>
Drug 1801,COP(=O)(OC)C(OC(=O)CCl)C(Cl)(Cl)Cl,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754599810>,333.91899999999987,2.9506000000000014,5,0,61.830000000000005,5,10,16,0,0.8333333333333334,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F450>
Drug 1802,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1O,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754599870>,252.10399999999998,2.2274,5,1,106.51,2,10,17,1,0.14285714285714285,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F4B0>
Drug 1804,Clc1ccc2c(c1)oc1ccccc12,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754599930>,202.64,4.239400000000002,1,0,13.14,0,2,14,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F510>
Drug 1805,COc1cc(OC)c(C2OC2C)cc1OC,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754599990>,224.25599999999997,2.1722,4,0,40.22,4,4,16,2,0.5,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F570>
Drug 1807,COc1c2ccoc2nc2c(OC)c3c(cc12)OCO3,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754599A50>,273.24399999999997,2.7269000000000005,6,0,62.95000000000002,2,6,20,4,0.21428571428571427,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F5D0>
Drug 1808,O=[N+]([O-])c1ccc(Nc2ccc(O)cc2)c([N+](=O)[O-])c1,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754599AB0>,275.22,2.9522000000000004,6,2,118.54000000000002,4,8,20,2,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F630>
Drug 1809,CCC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754599B10>,282.29499999999996,2.7532000000000014,4,2,74.6,2,4,21,3,0.17647058823529413,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F690>
Drug 1811,O=[N+]([O-])c1cc(NS(=O)(=O)c2cccc3cccnc23)ccc1Cl,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754599BD0>,363.78200000000004,3.5972000000000017,5,1,102.2,4,9,24,3,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F6F0>
Drug 1814,NC(CSC(F)(F)C(F)Cl)C(=O)O,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754599CF0>,237.63,1.2587000000000002,3,2,63.32000000000001,5,8,13,0,0.8,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F750>
Drug 1815,COc1c2ccoc2c(OC)c2oc(=O)ccc12,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754599D50>,246.21799999999996,2.556400000000001,5,0,61.81,2,5,18,3,0.15384615384615385,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F7B0>
Drug 1816,CNC(=O)Oc1cccc2c1OC(C)(C)C2,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754599DB0>,221.25599999999994,2.1183,3,1,47.56,1,4,16,2,0.4166666666666667,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F810>
Drug 1818,CCCCOC(=O)COc1ccc(Cl)cc1Cl,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754599E70>,277.147,3.7155000000000022,3,0,35.53,6,5,17,1,0.4166666666666667,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F870>
Drug 1823,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,1,<rdkit.Chem.rdchem.Mol object at 0x000001775459A090>,444.4880000000002,-0.13919999999999944,10,8,163.17999999999998,12,10,32,3,0.36363636363636365,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F8D0>
Drug 1824,Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1,0,<rdkit.Chem.rdchem.Mol object at 0x000001775459A0F0>,269.388,3.662620000000003,2,0,12.47,6,2,20,2,0.3333333333333333,<rdkit.Chem.rdchem.Mol object at 0x000001775E22F930>
